school_id,admission_rate_overall,admission_rate_by_ope_id,consumer_admission_rate,admission_score
483470,,,1.0,1.0
409193,,,1.0,1.0
484172,,,1.0,1.0
439932,,,1.0,1.0
493637,,,1.0,1.0
441672,,,1.0,1.0
491598,,,1.0,1.0
457794,,,1.0,1.0
447722,,,1.0,1.0
204121,,,1.0,1.0
170736,,,1.0,1.0
459523,,,1.0,1.0
481252,,,1.0,1.0
492935,,,1.0,1.0
495244,,,1.0,1.0
444361,,,1.0,1.0
377281,,,1.0,1.0
439774,,,1.0,1.0
434469,,,1.0,1.0
483869,,,1.0,1.0
199971,,,1.0,1.0
459541,,,1.0,1.0
421896,,,1.0,1.0
436553,,,1.0,1.0
439686,,,1.0,1.0
379746,,,1.0,1.0
484996,,,1.0,1.0
457192,,,1.0,1.0
215336,,,1.0,1.0
445498,,,1.0,1.0
449092,,,1.0,1.0
483850,,,1.0,1.0
161855,,,1.0,1.0
444264,,,1.0,1.0
207786,,,1.0,1.0
451547,,,1.0,1.0
449445,,,1.0,1.0
469416,,,1.0,1.0
223852,,,1.0,1.0
373456,,,1.0,1.0
243203,,,,1.0
488138,,,1.0,1.0
484066,,,1.0,1.0
448257,,,1.0,1.0
449773,,,1.0,1.0
373216,,,1.0,1.0
417637,,,1.0,1.0
495217,,,1.0,1.0
449807,,,1.0,1.0
201803,,,1.0,1.0
455974,,,1.0,1.0
204723,,,1.0,1.0
237242,,,1.0,1.0
431123,,,1.0,1.0
377272,,,1.0,1.0
369686,,,1.0,1.0
490249,,,1.0,1.0
178828,,,1.0,1.0
488059,,,1.0,1.0
376288,,,1.0,1.0
481483,,,1.0,1.0
415987,,,1.0,1.0
369783,,,1.0,1.0
461652,,,1.0,1.0
449357,,,1.0,1.0
446598,,,1.0,1.0
493558,,,1.0,1.0
430795,,,1.0,1.0
431196,,,1.0,1.0
134228,,,1.0,1.0
422835,,,1.0,1.0
431284,,,1.0,1.0
480888,,,1.0,1.0
460109,,,1.0,1.0
194435,,,1.0,1.0
110194,,,1.0,1.0
460932,,,1.0,1.0
461810,,,1.0,1.0
447865,,,1.0,1.0
448239,,,,1.0
413972,,,1.0,1.0
476498,,,1.0,1.0
108065,,,1.0,1.0
476869,,,1.0,1.0
447449,,,1.0,1.0
485573,,,1.0,1.0
457396,,,1.0,1.0
444404,,,1.0,1.0
449603,,,1.0,1.0
495129,,,1.0,1.0
448275,,,1.0,1.0
476610,,,1.0,1.0
146533,,,,1.0
449135,,,1.0,1.0
487959,,,1.0,1.0
237491,,,1.0,1.0
417910,,,1.0,1.0
461263,,,1.0,1.0
193858,,,1.0,1.0
486415,,,1.0,1.0
261773,,,1.0,1.0
409032,,,1.0,1.0
419721,,,1.0,1.0
194666,,,1.0,1.0
481191,,,1.0,1.0
481863,,,1.0,1.0
484020,,,1.0,1.0
457606,,,1.0,1.0
446206,,,1.0,1.0
143491,,,1.0,1.0
488378,,,1.0,1.0
248624,,,1.0,1.0
420370,,,1.0,1.0
109730,,,1.0,1.0
441575,,,1.0,1.0
238005,,,1.0,1.0
493150,,,1.0,1.0
193265,,,1.0,1.0
494995,,,1.0,1.0
495299,,,1.0,1.0
457572,,,1.0,1.0
487968,,,1.0,1.0
443207,,,1.0,1.0
380067,,,1.0,1.0
461856,,,1.0,1.0
488280,,,1.0,1.0
451501,,,1.0,1.0
488952,,,1.0,1.0
483382,,,1.0,1.0
188650,,,1.0,1.0
469610,,,1.0,1.0
260336,,,0.02,1.0
420981,,,1.0,1.0
430582,,,1.0,1.0
459374,,,1.0,1.0
220127,,,1.0,1.0
371690,,,1.0,1.0
250902,,,1.0,1.0
492652,,,1.0,1.0
460969,,,1.0,1.0
207704,,,1.0,1.0
165255,,,1.0,1.0
483841,,,1.0,1.0
489256,,,1.0,1.0
419712,,,1.0,1.0
228185,,,1.0,1.0
483106,,,1.0,1.0
453792,,,1.0,1.0
444194,,,1.0,1.0
449463,,,1.0,1.0
483744,,,1.0,1.0
418782,,,1.0,1.0
495262,,,1.0,1.0
440730,,,1.0,1.0
158617,,,1.0,1.0
457086,,,1.0,1.0
483009,,,1.0,1.0
484923,,,1.0,1.0
475431,,,1.0,1.0
184746,,,1.0,1.0
363679,,,1.0,1.0
490470,,,1.0,1.0
219596,,,1.0,1.0
438984,,,1.0,1.0
497189,,,1.0,1.0
443021,,,1.0,1.0
444936,,,1.0,1.0
456977,,,1.0,1.0
486813,,,1.0,1.0
484048,,,1.0,1.0
443252,,,1.0,1.0
189990,,,1.0,1.0
491686,,,1.0,1.0
480833,,,1.0,1.0
367051,,,1.0,1.0
443322,,,1.0,1.0
491075,,,1.0,1.0
191728,,,1.0,1.0
445948,,,1.0,1.0
171988,,,1.0,1.0
491695,,,1.0,1.0
402800,,,1.0,1.0
413820,,,1.0,1.0
443562,,,1.0,1.0
490452,,,1.0,1.0
437635,,,1.0,1.0
491941,,,1.0,1.0
476559,,,1.0,1.0
400187,,,1.0,1.0
495040,,,1.0,1.0
461582,,,1.0,1.0
484330,,,1.0,1.0
481386,,,1.0,1.0
492643,,,1.0,1.0
158246,,,1.0,1.0
476957,,,1.0,1.0
189413,,,1.0,1.0
452072,,,1.0,1.0
168892,,,1.0,1.0
455886,,,1.0,1.0
383163,,,1.0,1.0
413176,,,1.0,1.0
136765,,,1.0,1.0
383312,,,1.0,1.0
443951,,,1.0,1.0
486716,,,1.0,1.0
201867,,,,1.0
483647,,,1.0,1.0
490434,,,1.0,1.0
446604,,,1.0,1.0
196389,,,1.0,1.0
491923,,,1.0,1.0
481331,,,1.0,1.0
456001,,,1.0,1.0
228282,,,1.0,1.0
110875,,,1.0,1.0
481289,,,1.0,1.0
363013,,,1.0,1.0
451626,,,1.0,1.0
187000,,,1.0,1.0
439969,,,1.0,1.0
229300,,,,1.0
107123,,,,1.0
484367,,,1.0,1.0
408862,,,1.0,1.0
491932,,,1.0,1.0
439844,,,1.0,1.0
462336,,,1.0,1.0
137713,,,1.0,1.0
238810,,,1.0,1.0
237844,,,1.0,1.0
186016,,,1.0,1.0
460093,,,1.0,1.0
365240,,,1.0,1.0
202152,,,1.0,1.0
490197,,,1.0,1.0
423120,,,1.0,1.0
491677,,,1.0,1.0
444583,,,1.0,1.0
228200,,,1.0,1.0
459499,,,1.0,1.0
485801,,,1.0,1.0
490461,,,1.0,1.0
483276,,,1.0,1.0
457493,,,1.0,1.0
492689,,,,1.0
447810,,,1.0,1.0
142407,,,1.0,1.0
217794,,,1.0,1.0
486150,,,1.0,1.0
490018,,,1.0,1.0
461218,,,1.0,1.0
419703,,,1.0,1.0
412535,,,1.0,1.0
486752,,,1.0,1.0
461962,,,1.0,1.0
441706,,,1.0,1.0
447591,,,1.0,1.0
147819,,,1.0,1.0
395690,,,1.0,1.0
479965,,,1.0,1.0
449685,,,1.0,1.0
451529,,,1.0,1.0
481128,,,1.0,1.0
152044,,,1.0,1.0
428055,,,1.0,1.0
493752,,,1.0,1.0
455831,,,1.0,1.0
447908,,,1.0,1.0
495183,,,1.0,1.0
189219,,,1.0,1.0
480903,,,1.0,1.0
457484,,,1.0,1.0
448424,,,1.0,1.0
490346,,,1.0,1.0
456515,,,1.0,1.0
219037,,,1.0,1.0
223083,,,,1.0
488299,,,1.0,1.0
449782,,,1.0,1.0
417503,,,1.0,1.0
457624,,,1.0,1.0
135142,,,1.0,1.0
481960,,,1.0,1.0
459967,,,1.0,1.0
193380,,,0.02,1.0
367334,,1.0,1.0,1.0
454698,,,1.0,1.0
217077,,,1.0,1.0
365833,,,1.0,1.0
175698,,,1.0,1.0
123350,,,1.0,1.0
210599,,,1.0,1.0
493743,,,1.0,1.0
228088,,,1.0,1.0
444440,,,1.0,1.0
407142,,,1.0,1.0
455220,,,1.0,1.0
439622,,,1.0,1.0
368771,,,1.0,1.0
481526,,,1.0,1.0
480037,,,1.0,1.0
490391,,,1.0,1.0
475468,,,1.0,1.0
444529,,,1.0,1.0
493682,,,1.0,1.0
201539,,,1.0,1.0
444671,,,1.0,1.0
139995,,,1.0,1.0
416458,,,1.0,1.0
208044,,,1.0,1.0
458104,,,1.0,1.0
459532,,,1.0,1.0
365824,,,1.0,1.0
449250,,,1.0,1.0
495101,,,1.0,1.0
487506,,,1.0,1.0
490300,,,1.0,1.0
457943,,,1.0,1.0
418038,,,1.0,1.0
442985,,,1.0,1.0
454980,,,1.0,1.0
407595,,,1.0,1.0
447014,,,1.0,1.0
404684,,,1.0,1.0
496681,,,0.02,1.0
483753,,,1.0,1.0
172680,,,1.0,1.0
217828,,,1.0,1.0
145309,,,1.0,1.0
153773,,,1.0,1.0
480727,,,1.0,1.0
457785,,,1.0,1.0
189404,,,1.0,1.0
232885,,,,1.0
168573,,,1.0,1.0
439871,,,1.0,1.0
180090,,,1.0,1.0
236212,,,1.0,1.0
489238,,,1.0,1.0
485564,,,1.0,1.0
496715,,,1.0,1.0
220163,,,1.0,1.0
456825,,,1.0,1.0
475015,,,1.0,1.0
206039,,,1.0,1.0
457466,,,1.0,1.0
452081,,,1.0,1.0
226860,,,1.0,1.0
491899,,,1.0,1.0
364575,,,1.0,1.0
227298,,,1.0,1.0
247409,,,1.0,1.0
381699,,,1.0,1.0
450960,,,1.0,1.0
481340,,,1.0,1.0
451167,,,1.0,1.0
467094,,,1.0,1.0
135559,,,1.0,1.0
378886,,,1.0,1.0
461342,,,1.0,1.0
191959,,,1.0,1.0
231688,,,1.0,1.0
490531,,,1.0,1.0
237172,,,1.0,1.0
494700,,,1.0,1.0
489159,,,1.0,1.0
160199,,,1.0,1.0
453756,,,1.0,1.0
455798,,,1.0,1.0
448123,,,1.0,1.0
240709,,,1.0,1.0
430306,,,1.0,1.0
495943,,,1.0,1.0
458168,,,1.0,1.0
203942,,,1.0,1.0
208859,,,1.0,1.0
261676,,,1.0,1.0
434821,,,1.0,1.0
485476,,,1.0,1.0
459408,,,1.0,1.0
451574,,,1.0,1.0
245847,,,,1.0
451468,,,1.0,1.0
427308,,,1.0,1.0
179511,,1.0,1.0,1.0
163815,,,1.0,1.0
482194,,,1.0,1.0
451103,,,1.0,1.0
228644,,,,1.0
220756,,,1.0,1.0
209490,,,,1.0
441645,,,1.0,1.0
480851,,,1.0,1.0
481447,,,1.0,1.0
448646,,,1.0,1.0
149204,,,1.0,1.0
204158,,,1.0,1.0
149763,,,,1.0
139506,,,1.0,1.0
121868,,,1.0,1.0
419183,,,1.0,1.0
447999,,,1.0,1.0
444945,,,1.0,1.0
117803,,,,1.0
487348,,,1.0,1.0
211316,,,1.0,1.0
377661,,,1.0,1.0
455868,,,1.0,1.0
487773,,,1.0,1.0
461865,,,1.0,1.0
447971,,,1.0,1.0
451042,,,1.0,1.0
228219,,,1.0,1.0
447731,,,1.0,1.0
446093,,,1.0,1.0
450988,,,1.0,1.0
461555,,,1.0,1.0
433068,,,1.0,1.0
189468,,,1.0,1.0
444857,,,1.0,1.0
455761,,,1.0,1.0
382461,,,1.0,1.0
242820,,,1.0,1.0
476780,,,1.0,1.0
127316,,,1.0,1.0
368647,,,0.02,1.0
443571,,,1.0,1.0
194259,,,1.0,1.0
419633,,,1.0,1.0
107442,,,1.0,1.0
214290,,,1.0,1.0
377315,,,1.0,1.0
437857,,,1.0,1.0
441618,,,1.0,1.0
492731,,,1.0,1.0
456506,,,1.0,1.0
492722,,,1.0,1.0
455105,,,1.0,1.0
185466,,,1.0,1.0
450128,,,1.0,1.0
441830,,,1.0,1.0
418250,,,1.0,1.0
392257,,,1.0,1.0
460145,,,1.0,1.0
400080,,,1.0,1.0
114637,,,1.0,1.0
460701,,,1.0,1.0
461740,,,1.0,1.0
230144,,,1.0,1.0
111054,,,1.0,1.0
376385,,,1.0,1.0
491756,,,1.0,1.0
419235,,,1.0,1.0
483230,,,1.0,1.0
235088,,,1.0,1.0
159522,,,1.0,1.0
384245,,,1.0,1.0
418515,,,1.0,1.0
480824,,,1.0,1.0
450711,,,1.0,1.0
367158,,,1.0,1.0
241906,,,1.0,1.0
476878,,,1.0,1.0
221102,,,1.0,1.0
