school_id,student_size,demographics_men_pct,demographics_women_pct
483470,63.0,0.0794,0.9206
409193,175.0,0.9714,0.0286
484172,5.0,0.2,0.8
439932,56.0,0.0893,0.9107
493637,19.0,0.0526,0.9474
441672,42.0,0.1429,0.8571
491598,24.0,0.0417,0.9583
457794,118.0,0.1102,0.8898
447722,38.0,0.0789,0.9211
204121,72.0,0.0,1.0
170736,52.0,0.0192,0.9808
459523,64.0,0.0938,0.9063
481252,64.0,0.125,0.875
492935,129.0,0.1085,0.8915
495244,21.0,0.0476,0.9524
444361,54.0,0.463,0.537
377281,71.0,0.0845,0.9155
439774,62.0,0.3387,0.6613
434469,277.0,0.1516,0.8484
483869,124.0,0.2661,0.7339
199971,47.0,0.6596,0.3404
459541,25.0,0.0,1.0
421896,190.0,0.3632,0.6368
436553,773.0,0.1759,0.8241
439686,8.0,0.0,1.0
379746,365.0,0.0493,0.9507
484996,193.0,0.0207,0.9793
457192,56.0,0.7143,0.2857
215336,24.0,0.0417,0.9583
445498,11.0,1.0,0.0
449092,128.0,1.0,0.0
483850,7.0,0.1429,0.8571
161855,43.0,0.0233,0.9767
444264,0.0,0.0,0.0
207786,22.0,0.0455,0.9545
451547,16.0,0.25,0.75
449445,70.0,0.1571,0.8429
469416,292.0,0.2158,0.7842
223852,22.0,0.0455,0.9545
373456,26.0,0.0385,0.9615
243203,264.0,0.1515,0.8485
488138,167.0,0.0299,0.9701
484066,360.0,0.0611,0.9389
448257,17.0,0.0,1.0
449773,187.0,0.1658,0.8342
373216,119.0,0.1765,0.8235
417637,47.0,0.3404,0.6596
495217,29.0,0.7586,0.2414
449807,71.0,0.0986,0.9014
201803,34.0,0.1176,0.8824
455974,160.0,0.0563,0.9438
204723,303.0,0.7657,0.2343
237242,41.0,0.9756,0.0244
431123,138.0,0.9855,0.0145
377272,17.0,0.1765,0.8235
369686,69.0,0.2029,0.7971
490249,27.0,0.8519,0.1481
178828,34.0,0.2353,0.7647
488059,248.0,0.3306,0.6694
376288,111.0,0.2703,0.7297
481483,111.0,0.045,0.955
415987,86.0,0.0698,0.9302
369783,282.0,0.0567,0.9433
461652,94.0,0.0638,0.9362
449357,81.0,0.0494,0.9506
446598,24.0,0.0833,0.9167
493558,12.0,0.9167,0.0833
430795,155.0,0.2774,0.7226
431196,94.0,0.0745,0.9255
134228,31.0,0.3548,0.6452
422835,280.0,0.1786,0.8214
431284,68.0,0.0,1.0
480888,171.0,0.4444,0.5556
460109,90.0,0.0333,0.9667
194435,73.0,0.0274,0.9726
110194,264.0,1.0,0.0
460932,84.0,0.0,1.0
461810,25.0,0.36,0.64
447865,18.0,0.7222,0.2778
448239,118.0,0.0339,0.9661
413972,30.0,0.0667,0.9333
476498,250.0,0.652,0.348
108065,14.0,0.0,1.0
476869,79.0,0.0506,0.9494
447449,56.0,0.2679,0.7321
485573,213.0,0.1315,0.8685
457396,112.0,0.2679,0.7321
444404,21.0,0.381,0.619
449603,176.0,0.5852,0.4148
