school_id,in_state_tuition,out_of_state_tuition,loan_principal,pell_grant_rate,federal_loan_rate,completion_rate,completion_score,size_score,in_state_tuition_score,financial_aid_score,ranking_score,rank
483470,,,6186.0,1.0,1.0,1.0,0.9999999999,0.00045606567345697754,1.0,0.9999999999,0.6500456065373457,1
409193,,,,1.0,0.0,0.9649,0.9648999999035099,0.0012668490929360486,1.0,0.9999999999,0.6431066848799957,2
484172,,,5970.0,0.9655,0.9655,0.9559,0.95589999990441,3.619568836960139e-05,1.0,0.96549999990345,0.6377336195400639,3
439932,,,4400.0,1.0,0.8916,0.9231,0.92309999990769,0.00040539170973953554,1.0,0.9999999999,0.634660539142512,4
493637,,,,0.8906,0.0,0.9737,0.97369999990263,0.0001375436158044853,1.0,0.89059999991094,0.6338137543332005,5
441672,,,5500.0,0.9,1.0,0.9638,0.96379999990362,0.00030404378230465166,1.0,0.89999999991,0.6327904043499546,6
491598,,,4278.0,0.8182,0.75,1.0,0.9999999999,0.00017373930417408667,1.0,0.81819999991818,0.6318373739022354,7
457794,,,,0.8424,0.0,0.9815,0.98149999990185,0.0008542182455225928,1.0,0.84239999991576,0.6306254217964982,8
447722,,,7405.0,1.0,0.9459,0.9028,0.90279999990972,0.0002750872316089706,1.0,0.9999999999,0.6305875086951049,9
204121,,,6333.0,0.9865,0.9054,0.9091,0.90909999990909,0.00052121791252226,1.0,0.9864999999013501,0.6305221217632052,10
170736,,,4750.0,0.8286,0.8857,0.9677,0.96769999990323,0.00037643515904385447,1.0,0.82859999991714,0.6264376434882644,11
459523,,,,1.0,0.0,0.8737,0.87369999991263,0.0004633048111308978,1.0,0.9999999999,0.6247863304536391,12
481252,,,17414.0,0.9167,0.9524,0.913,0.9129999999087001,0.0004633048111308978,1.0,0.91669999990833,0.6243163304536862,13
492935,,,8234.0,0.9741,0.7974,0.8837,0.8836999999116301,0.0009338487599357158,1.0,0.97409999990259,0.6242433848485787,14
495244,,,5885.0,0.95,0.95,0.8947,0.8946999999105301,0.00015202189115232583,1.0,0.949999999905,0.6239552021617213,15
444361,,,5500.0,0.8352,0.9011,0.9509,0.9508999999049099,0.00039091343439169503,1.0,0.8351999999164801,0.6237390913160692,16
377281,,,4242.0,0.9762,0.9524,0.8784,0.87839999991216,0.0005139787748483398,1.0,0.9761999999023799,0.6233513978501548,17
439774,,,5700.0,0.8696,0.8406,0.9245,0.9244999999075499,0.00044882653578305723,1.0,0.86959999991304,0.6219048826263923,18
434469,,,6952.0,1.0,1.0,0.8578,0.85779999991422,0.002005241135675917,1.0,0.9999999999,0.6217605240864116,19
483869,,,7917.0,0.8197,0.7814,0.9391,0.93909999990609,0.0008976530715661145,1.0,0.81969999991803,0.6198797652801776,20
199971,8930.0,8930.0,10000.0,1.0,1.0,0.9135,0.9134999999086499,0.0003402394706742531,0.8693776054998905,0.9999999999,0.6196717844687865,21
459541,,,5651.0,0.913,0.913,0.8889,0.88889999991111,0.00018097844184800695,1.0,0.9129999999087001,0.6190980978172769,22
421896,,,,0.9808,0.0,0.8529,0.85289999991471,0.0013754361580448529,1.0,0.98079999990192,0.6187975435889386,23
436553,8075.0,8075.0,,1.0,0.0,0.9,0.89999999991,0.005595853421940375,0.8818840049733052,0.9999999999,0.6187479858115246,24
439686,,,9346.0,0.7143,0.7143,0.9856,0.98559999990144,5.7913101391362224e-05,1.0,0.7142999999285701,0.6185557912832842,25
379746,,,9473.0,0.7063,0.7106,0.9756,0.9755999999024401,0.0026422852509809013,1.0,0.70629999992937,0.616014228498523,26
484996,,,,0.9396,0.0,0.8571,0.85709999991429,0.0013971535710666136,1.0,0.9395999999060399,0.6155197153305687,27
457192,,,13022.0,0.9259,0.7593,0.8571,0.85709999991429,0.00040539170973953554,1.0,0.9258999999074099,0.614050539144573,28
215336,,,9500.0,0.8889,0.9259,0.875,0.8749999999125,0.00017373930417408667,1.0,0.88889999991111,0.6139073739040285,29
445498,,,,0.8667,0.0,0.8823,0.88229999991177,7.963051441312306e-05,1.0,0.86669999991333,0.6131379630251284,30
449092,13152.0,13152.0,8500.0,1.0,1.0,0.9088,0.9087999999091201,0.0009266096222617956,0.8076208586264905,0.9999999999,0.6126147467966992,31
483850,,,5709.0,0.9,0.2,0.8611,0.86109999991389,5.067396371744194e-05,1.0,0.89999999991,0.6122250673701497,32
161855,,,5500.0,0.9778,1.0,0.8163,0.81629999991837,0.00031128291997857197,1.0,0.97779999990222,0.6110711282658939,33
444264,,,,0.8571,0.0,0.8727,0.8726999999127301,0.0,1.0,0.85709999991429,0.610249999973975,34
207786,,,,1.0,0.8,0.7954,0.79539999992046,0.0001592610288262461,1.0,0.9999999999,0.6090959260769746,35
451547,,,6692.0,1.0,1.0,0.7917,0.79169999992083,0.00011582620278272445,1.0,0.9999999999,0.6083515825944443,36
449445,,,8698.0,0.838,0.7254,0.8712,0.87119999991288,0.0005067396371744194,1.0,0.8379999999162,0.6080906739379135,37
469416,7495.0,7495.0,5000.0,0.9184,0.1206,0.8831,0.88309999991169,0.002113828200784721,0.8903678783003001,0.91839999990816,0.6077081706232625,38
223852,,,7770.0,0.8235,0.8824,0.875,0.8749999999125,0.0001592610288262461,1.0,0.82349999991765,0.6073659260771478,39
373456,,,,1.0,1.0,0.7857,0.7856999999214299,0.00018821757952192724,1.0,0.9999999999,0.6071588217322381,40
243203,,,5500.0,0.7054,0.1548,0.9316,0.93159999990684,0.0019111323459149534,1.0,0.70539999992946,0.6070511132089055,41
488138,,,6333.0,0.7566,0.7566,0.9057,0.90569999990943,0.0012089359915446864,1.0,0.75659999992434,0.6069208935734745,42
484066,,,9196.0,0.9494,0.7023,0.8081,0.80809999991919,0.0026060895626113002,1.0,0.94939999990506,0.6068206089306052,43
448257,,,6333.0,0.6623,0.5714,0.9524,0.95239999990476,0.00012306534045664473,1.0,0.66229999993377,0.6067223065083747,44
449773,,,7662.0,0.81,0.7742,0.8727,0.8726999999127301,0.001353718745023092,1.0,0.8099999999190001,0.6056753718489483,45
373216,,,9833.0,0.65,0.5583,0.9511,0.9510999999048899,0.0008614573831965131,1.0,0.649999999935,0.6053061457127977,46
417637,,,8994.0,0.7065,0.4022,0.9222,0.92219999990778,0.0003402394706742531,1.0,0.70649999992935,0.6051240239215584,47
495217,,,,0.6909,0.3636,0.9286,0.9285999999071399,0.00020993499254368805,1.0,0.69089999993091,0.6048309934737733,48
449807,,,4584.0,0.8272,0.8642,0.8599,0.85989999991401,0.0005139787748483398,1.0,0.82719999991728,0.6047513978520148,49
201803,8200.0,8200.0,5500.0,0.7308,0.3846,0.968,0.9679999999032,0.00024613068091328946,0.8800555839976598,0.73079999992692,0.6047101714411893,50
455974,12370.0,12370.0,3500.0,0.8,0.88,0.9624,0.96239999990376,0.0011582620278272444,0.8190594602501282,0.79999999992,0.6045017722005477,51
204723,,,8750.0,0.8716,0.9506,0.8347,0.83469999991653,0.002193458715197844,1.0,0.87159999991284,0.6043193458461098,52
237242,,,,0.63,0.37,0.9559,0.95589999990441,0.0002968046446307314,1.0,0.629999999937,0.604209680439045,53
431123,,,,0.8078,0.0,0.8657,0.86569999991343,0.0009990009990009983,1.0,0.8077999999192199,0.6040199000745081,54
377272,,,3862.0,0.9429,0.8857,0.7966,0.7965999999203399,0.00012306534045664473,1.0,0.9428999999057099,0.6036223065086846,55
369686,,,,0.9439,0.0,0.7917,0.79169999992083,0.0004995004995004992,1.0,0.9438999999056099,0.6027799500246771,56
490249,,,6365.0,0.9608,0.902,0.78,0.779999999922,0.00019545671719584752,1.0,0.96079999990392,0.6020995456465116,57
178828,,,4750.0,0.7778,0.5833,0.8704,0.8703999999129599,0.00024613068091328946,1.0,0.77779999992222,0.6018846130429054,58
488059,19996.0,19996.0,17828.0,0.8057,1.0,1.0,0.9999999999,0.001795306143132229,0.7075111533679519,0.80569999991943,0.6015006459230515,59
376288,,,,1.0,0.0,0.7553,0.75529999992447,0.0008035442818051508,1.0,0.9999999999,0.6011403544030745,60
481483,,,5848.0,0.8189,0.853,0.8453,0.84529999991547,0.0008035442818051508,1.0,0.8188999999181099,0.6010303544030855,61
415987,,,9500.0,0.7117,0.6842,0.8977,0.8976999999102301,0.0006225658399571439,1.0,0.71169999992883,0.6007722565589247,62
369783,,,7842.0,0.878,0.7861,0.8107,0.8106999999189299,0.0020414368240455182,1.0,0.8779999999122,0.6001441436574106,63
461652,,,5846.0,0.542,0.5802,0.9787,0.97869999990213,0.0006804789413485062,1.0,0.5419999999458001,0.6000080478691409,64
449357,,,14220.0,0.6933,0.8267,0.9,0.89999999991,0.0005863701515875426,1.0,0.69329999993067,0.5993886369902257,65
446598,11822.0,11822.0,10303.0,0.9286,0.9286,0.8689,0.86889999991311,0.00017373930417408667,0.8270752578073578,0.9285999999071399,0.5993648996844892,66
493558,,,,0.5909,0.7727,0.95,0.949999999905,8.686965208704334e-05,1.0,0.59089999994091,0.5990986869402998,67
430795,,,,0.7805,0.0,0.854,0.8539999999146,0.001122066339457643,1.0,0.78049999992195,0.5989622066090607,68
431196,,,11460.0,0.75,0.7857,0.8667,0.86669999991333,0.0006804789413485062,1.0,0.749999999925,0.5984080478693008,69
134228,,,5500.0,0.6977,0.7907,0.8929,0.89289999991071,0.00022441326789152862,1.0,0.69769999993023,0.5983724413019542,70
422835,,,9500.0,0.8281,0.8399,0.8267,0.82669999991733,0.0020269585486976777,1.0,0.82809999991719,0.5983526958300548,71
431284,,,,0.5298,0.0,0.9762,0.9761999999023799,0.0004922613618265789,1.0,0.5297999999470201,0.5982692261113607,72
480888,,,6776.0,0.8628,0.8023,0.8092,0.80919999991908,0.0012378925422403676,1.0,0.86279999991372,0.5982437892294121,73
460109,,,8481.0,0.8677,0.9153,0.8046,0.80459999991954,0.0006515223906528251,1.0,0.86769999991323,0.5977551522142963,74
194435,,,6333.0,0.808,0.712,0.8333,0.83329999991667,0.0005284570501961803,1.0,0.8079999999192,0.5975128456802736,75
